repository,stars,findable,accessible,interoperable,reusable,total,missing_findable,missing_accessible,missing_interoperable,missing_reusable,detailed_scores,metadata_summary,metadata_files_count
https://github.com/biofold/sco-benchmark-experiments,0,80.0,80.0,75.0,85.0,80.0,"['Repository topics', 'GitHub releases', 'Documentation wiki', 'License in metadata']",['Access rights in metadata'],"['Controlled vocabularies', 'Format information']","['Contact information', 'Issue templates']","{'findable': {'score': 80, 'max_score': 100, 'percentage': 80.0, 'missing': ['Repository topics', 'GitHub releases', 'Documentation wiki', 'License in metadata']}, 'accessible': {'score': 80, 'max_score': 100, 'percentage': 80.0, 'missing': ['Access rights in metadata']}, 'interoperable': {'score': 75, 'max_score': 100, 'percentage': 75.0, 'missing': ['Controlled vocabularies', 'Format information']}, 'reusable': {'score': 85, 'max_score': 100, 'percentage': 85.0, 'missing': ['Contact information', 'Issue templates']}}","{'has_license': False, 'has_doi': False, 'has_contact': False, 'has_provenance': True, 'has_access_rights': False, 'has_format_info': False, 'has_vocabularies': False, 'standards_used': ['schema.org', 'dcat'], 'license_types': [], 'formats_mentioned': []}",2
https://github.com/elixir-europe/sco-community,0,60.0,65.0,55.00000000000001,25.0,51.25,"['DOI or Persistent ID', 'Repository topics', 'Project website', 'GitHub releases', 'Documentation wiki', 'License in metadata']","['Access rights in metadata', 'Download instructions']","['Data schema', 'Controlled vocabularies', 'Format information']","['Citation file', 'Provenance information', 'Examples/notebooks', 'Contact information', 'Detailed README', 'Issue templates']","{'findable': {'score': 60, 'max_score': 100, 'percentage': 60.0, 'missing': ['DOI or Persistent ID', 'Repository topics', 'Project website', 'GitHub releases', 'Documentation wiki', 'License in metadata']}, 'accessible': {'score': 65, 'max_score': 100, 'percentage': 65.0, 'missing': ['Access rights in metadata', 'Download instructions']}, 'interoperable': {'score': 55, 'max_score': 100, 'percentage': 55.00000000000001, 'missing': ['Data schema', 'Controlled vocabularies', 'Format information']}, 'reusable': {'score': 25, 'max_score': 100, 'percentage': 25.0, 'missing': ['Citation file', 'Provenance information', 'Examples/notebooks', 'Contact information', 'Detailed README', 'Issue templates']}}","{'has_license': False, 'has_doi': False, 'has_contact': False, 'has_provenance': False, 'has_access_rights': False, 'has_format_info': False, 'has_vocabularies': False, 'standards_used': ['dublin-core'], 'license_types': [], 'formats_mentioned': []}",2
https://github.com/kendomaniac/B1,0,20.0,40.0,0.0,0.0,15.0,"['Metadata file', 'Structured metadata', 'DOI or Persistent ID', 'Repository topics', 'GitHub releases', 'Documentation wiki', 'License in metadata']","['Open license', 'Access rights in metadata', 'Download instructions']","['Standard formats', 'Data schema', 'Standard metadata schema', 'Controlled vocabularies', 'Usage scripts', 'Format information']","['LICENSE file', 'Citation file', 'Provenance information', 'Examples/notebooks', 'Contact information', 'Detailed README', 'Issue templates']","{'findable': {'score': 20, 'max_score': 100, 'percentage': 20.0, 'missing': ['Metadata file', 'Structured metadata', 'DOI or Persistent ID', 'Repository topics', 'GitHub releases', 'Documentation wiki', 'License in metadata']}, 'accessible': {'score': 40, 'max_score': 100, 'percentage': 40.0, 'missing': ['Open license', 'Access rights in metadata', 'Download instructions']}, 'interoperable': {'score': 0, 'max_score': 100, 'percentage': 0.0, 'missing': ['Standard formats', 'Data schema', 'Standard metadata schema', 'Controlled vocabularies', 'Usage scripts', 'Format information']}, 'reusable': {'score': 0, 'max_score': 100, 'percentage': 0.0, 'missing': ['LICENSE file', 'Citation file', 'Provenance information', 'Examples/notebooks', 'Contact information', 'Detailed README', 'Issue templates']}}","{'has_license': False, 'has_doi': False, 'has_contact': False, 'has_provenance': False, 'has_access_rights': False, 'has_format_info': False, 'has_vocabularies': False, 'standards_used': [], 'license_types': [], 'formats_mentioned': []}",0
